Year,Units,display,age,Bundesland,GeoCode,Value
2010,percentage (%),a) time series,3- to 5-year-olds,rp,code07,33.6
2011,percentage (%),a) time series,3- to 5-year-olds,rp,code07,38.6
2012,percentage (%),a) time series,3- to 5-year-olds,rp,code07,44.7
2013,percentage (%),a) time series,3- to 5-year-olds,rp,code07,46.6
2014,percentage (%),a) time series,3- to 5-year-olds,rp,code07,47.9
2015,percentage (%),a) time series,3- to 5-year-olds,rp,code07,49.6
2016,percentage (%),a) time series,3- to 5-year-olds,rp,code07,50.8
2017,percentage (%),a) time series,3- to 5-year-olds,rp,code07,52.2
2018,percentage (%),a) time series,3- to 5-year-olds,rp,code07,52.5
2019,percentage (%),a) time series,3- to 5-year-olds,rp,code07,53.4
2006,percentage (%),a) time series,3- to 5-year-olds,sl,code10,14.8
2007,percentage (%),a) time series,3- to 5-year-olds,sl,code10,16.1
2008,percentage (%),a) time series,3- to 5-year-olds,sl,code10,18.9
2009,percentage (%),a) time series,3- to 5-year-olds,sl,code10,22.6
2010,percentage (%),a) time series,3- to 5-year-olds,sl,code10,25.7
2011,percentage (%),a) time series,3- to 5-year-olds,sl,code10,30.0
2012,percentage (%),a) time series,3- to 5-year-olds,sl,code10,34.8
2013,percentage (%),a) time series,3- to 5-year-olds,sl,code10,39.1
2014,percentage (%),a) time series,3- to 5-year-olds,sl,code10,42.5
2015,percentage (%),a) time series,3- to 5-year-olds,sl,code10,46.2
2016,percentage (%),a) time series,3- to 5-year-olds,sl,code10,48.6
2017,percentage (%),a) time series,3- to 5-year-olds,sl,code10,49.3
2018,percentage (%),a) time series,3- to 5-year-olds,sl,code10,52.1
2019,percentage (%),a) time series,3- to 5-year-olds,sl,code10,54.5
2006,percentage (%),a) time series,3- to 5-year-olds,sn,code14,59.5
2007,percentage (%),a) time series,3- to 5-year-olds,sn,code14,62.2
2008,percentage (%),a) time series,3- to 5-year-olds,sn,code14,65.9
2009,percentage (%),a) time series,3- to 5-year-olds,sn,code14,70.2
2010,percentage (%),a) time series,3- to 5-year-olds,sn,code14,74.8
2011,percentage (%),a) time series,3- to 5-year-olds,sn,code14,75.6
2012,percentage (%),a) time series,3- to 5-year-olds,sn,code14,76.2
2013,percentage (%),a) time series,3- to 5-year-olds,sn,code14,77.9
2014,percentage (%),a) time series,3- to 5-year-olds,sn,code14,79.0
2015,percentage (%),a) time series,3- to 5-year-olds,sn,code14,81.0
2016,percentage (%),a) time series,3- to 5-year-olds,sn,code14,80.9
2017,percentage (%),a) time series,3- to 5-year-olds,sn,code14,81.8
2018,percentage (%),a) time series,3- to 5-year-olds,sn,code14,82.1
2019,percentage (%),a) time series,3- to 5-year-olds,sn,code14,82.3
2006,percentage (%),a) time series,3- to 5-year-olds,st,code15,50.6
2007,percentage (%),a) time series,3- to 5-year-olds,st,code15,53.1
2008,percentage (%),a) time series,3- to 5-year-olds,st,code15,54.5
2009,percentage (%),a) time series,3- to 5-year-olds,st,code15,56.4
2010,percentage (%),a) time series,3- to 5-year-olds,st,code15,58.0
2011,percentage (%),a) time series,3- to 5-year-olds,st,code15,61.2
2012,percentage (%),a) time series,3- to 5-year-olds,st,code15,63.4
2013,percentage (%),a) time series,3- to 5-year-olds,st,code15,65.0
2014,percentage (%),a) time series,3- to 5-year-olds,st,code15,80.2
2015,percentage (%),a) time series,3- to 5-year-olds,st,code15,82.9
2016,percentage (%),a) time series,3- to 5-year-olds,st,code15,81.4
2017,percentage (%),a) time series,3- to 5-year-olds,st,code15,80.7
2018,percentage (%),a) time series,3- to 5-year-olds,st,code15,80.4
2019,percentage (%),a) time series,3- to 5-year-olds,st,code15,81.4
2006,percentage (%),a) time series,3- to 5-year-olds,sh,code01,10.0
2007,percentage (%),a) time series,3- to 5-year-olds,sh,code01,11.1
2008,percentage (%),a) time series,3- to 5-year-olds,sh,code01,12.6
2009,percentage (%),a) time series,3- to 5-year-olds,sh,code01,14.2
2010,percentage (%),a) time series,3- to 5-year-olds,sh,code01,16.0
2011,percentage (%),a) time series,3- to 5-year-olds,sh,code01,19.1
2012,percentage (%),a) time series,3- to 5-year-olds,sh,code01,21.3
2013,percentage (%),a) time series,3- to 5-year-olds,sh,code01,24.1
2014,percentage (%),a) time series,3- to 5-year-olds,sh,code01,25.7
2015,percentage (%),a) time series,3- to 5-year-olds,sh,code01,29.6
2016,percentage (%),a) time series,3- to 5-year-olds,sh,code01,31.5
2017,percentage (%),a) time series,3- to 5-year-olds,sh,code01,34.2
2018,percentage (%),a) time series,3- to 5-year-olds,sh,code01,35.0
2019,percentage (%),a) time series,3- to 5-year-olds,sh,code01,36.7
2006,percentage (%),a) time series,3- to 5-year-olds,th,code16,84.0
2007,percentage (%),a) time series,3- to 5-year-olds,th,code16,84.5
2008,percentage (%),a) time series,3- to 5-year-olds,th,code16,84.9
2009,percentage (%),a) time series,3- to 5-year-olds,th,code16,86.1
2010,percentage (%),a) time series,3- to 5-year-olds,th,code16,87.1
2011,percentage (%),a) time series,3- to 5-year-olds,th,code16,89.4
2012,percentage (%),a) time series,3- to 5-year-olds,th,code16,87.4
2013,percentage (%),a) time series,3- to 5-year-olds,th,code16,88.1
2014,percentage (%),a) time series,3- to 5-year-olds,th,code16,91.0
2015,percentage (%),a) time series,3- to 5-year-olds,th,code16,91.4
2016,percentage (%),a) time series,3- to 5-year-olds,th,code16,90.8
2017,percentage (%),a) time series,3- to 5-year-olds,th,code16,91.8
2018,percentage (%),a) time series,3- to 5-year-olds,th,code16,91.8
2019,percentage (%),a) time series,3- to 5-year-olds,th,code16,92.3
